Статья,Описание,Контрагент,сент. 2020,окт. 2020,нояб.2020,дек.2020
Выручка,,СиЛОГ,1660,1480,1480,1480
Лизинг,,,250,250,250,250
ОСАГО,77 в год,,6,6,6,6
КАСКО,100 в год,,8,8,8,8
Обслуживание,,,80,80,80,80
ГСМ,,,300,300,300,300
Зп,,,540,540,540,540
