Статья,Описание,Контрагент,сент. 2020,окт. 2020,нояб.2020,дек.2020
Выручка,,Приорити,4300,4300,4700,4700
Лизинг,,,700,700,700,700
ОСАГО,40 в год,,3,3,3,3
КАСКО,70 в год,,6,6,6,6
Обслуживание,,,400,400,400,400
ГСМ,,,1600,1600,1600,1600
Зп,,,800,800,800,800
